user,item,price,quantity
Margalo,Nickola,757.21,33
Consuela,Albertine,190.15,76
Madeleine,Gibbeon,621.86,56
Rozele,Yoko,809.69,14
Jessamyn,Amand,898.71,25
Alex,Seumas,492.1,13
Susan,Weitman,599.27,82
Marjie,Narton,634.4,26
Gui,Claudine,839.31,24
Larine,Dawkins,295.49,76
Halette,Mayeda,718.24,94
Dyann,Narton,273.27,84
Adele,Arquit,684.71,99
Nelle,Odysseus,325.92,12
Penelopa,Dorine,242.04,47
Moyna,Eckblad,922.17,83
Tracey,Nedrud,103.04,12
Alisha,Schonfeld,693.33,91
Tabbatha,Raseda,571.4,31
Valera,Atonsah,832.97,96
Therine,Paine,822.23,26
Aurore,Haerr,677.48,32
Ira,Allys,807.14,93
Carmencita,Mott,238.64,71
Gabi,Braun,291.72,11
Emilia,Verger,464.59,59
Sonni,Medrek,897.05,53
Cacilie,Camden,892.9,11
Maye,Forrer,740.54,37
Gwyneth,Gabrielli,606.77,50
Regina,Barrus,193.66,95
Alyssa,Remmer,962.13,100
Perry,Zitvaa,459.08,43
Sallie,Maxi,397.78,30
Genevra,Dearborn,924.61,96
Florie,Orlene,325.28,25
Dulcinea,Oscar,646.42,68
Averyl,Kelula,727.11,68
Etta,Ursulette,208.66,55
Isa,Candy,997.64,21
Shannah,Atcliffe,704.6,97
Caressa,Stav,130.46,92
Deirdre,Bultman,986.62,68
Tiffie,Elo,314,66
Moyna,Ephrem,975.78,56
Dacia,Lanita,679.19,78
Aili,Gavrila,237.06,61
Cyb,Catie,237.51,72
Tracey,Shelba,640.48,83
Ann-Marie,Maxi,205.75,77
Fina,Henebry,150.29,16
Damaris,Devlen,559.11,22
Kate,Fillbert,894.39,98
Hollie,Newell,964.01,97
Vanessa,Secrest,729.8,62
Leia,Goerke,950.94,89
Rhoda,Kravits,503.46,100
Donnie,Germann,516.62,83
Mariele,Lilas,551.46,79
Merry,Lucienne,406.33,15
Sarette,Naashom,825.25,85
Lauryn,Lilas,550.06,56
Molli,Papageno,439.84,20
Maryellen,Aldric,551.15,41
Mariele,Joachim,357.09,31
Ariela,Olnee,857.36,74
Edee,Dosia,455.15,34
Tani,Bouchard,716.72,49
Ada,Jagir,156.86,65
Nadine,Stevy,400.13,46
Nerta,Kirstin,159.54,39
Kenna,Reneta,772.44,77
Rani,Carbo,239.1,38
Darlleen,Darbie,613.97,35
Clementine,Urias,534.88,42
Florencia,Naor,942.62,79
Hermione,Lymann,732.36,56
Shannah,Lalitta,500.11,20
Miquela,Allina,538.88,30
Margalo,Wareing,776.96,21
Flo,Eliathas,202.06,100
Paulita,Gunn,908.7,40
Tracey,Whiffen,627.38,72
Dale,Blake,414.8,53
Hildegaard,Phyllis,563.86,21
Alejandra,Hirsch,184.71,58
Lorie,Johanna,657.83,35
Dode,Phi,347.83,28
Cristine,Roumell,281.47,64
Iseabal,Leary,263.11,91
Riannon,Howlyn,336.75,92
Gwenneth,Hartnett,725.88,35
Elmira,Chrystel,897.68,65
Louella,Hermes,888.45,100
Marguerite,Parette,696.77,41
Kristina,Gaspard,548.55,94
Adore,Lemuela,732.06,74
Carlie,Sadowski,778.45,69
Elbertina,Even,908.82,74
Gisela,Gale,962.22,39
Adele,Knowling,418.97,70
Sidoney,Arquit,272.24,98
Magdalena,Joseph,815.67,63
Andree,Chauncey,223.47,50
Jessy,Yuille,441.76,43
Jacquetta,Fiann,759.41,92
Nicoli,Campball,442.94,21
Cyndie,Rosette,478.67,55
Genevra,Gusella,444.14,75
Emma,Peg,792.95,43
Annora,Martsen,230.64,59
Marsiella,Devlen,371.97,50
Deloria,Hutchison,791.95,18
Lyssa,Hashim,797.59,83
Moyna,Rillings,364.71,66
Olivette,Lilybelle,340.3,32
Kaja,Jaylene,687.95,91
Ayn,Pitt,864.1,33
Kate,Stover,303.42,46
Hettie,Hedve,805.54,83
Andeee,Grimbly,706.75,66
Mariele,Gherardo,525.73,22
Nataline,Pulsifer,659.68,65
Liana,Mintz,767.41,92
Almeta,Trey,989.13,93
Petronia,Lattie,345.1,70
Dorothy,Persse,965.12,90
Kamilah,Ehrman,809.84,35
Siana,Norvol,438.46,91
Eugine,Gibbeon,233.63,87
Nariko,Sacken,868.74,89
Jacenta,Gordon,239.97,46
Karlee,Saint,174.4,98
Selma,Milde,179.59,88
Celene,Marcellus,877.32,46
Ashlee,Chem,525.28,26
Kathy,Merriott,427.94,35
Sue,Anastatius,866.49,79
Marsiella,Hortensia,937.79,80
Di,Emerson,746.16,39
Juliane,Nadia,918.43,15
Magdalena,Harday,754.7,87
Elena,Alcott,752.98,76
Kenna,Sadowski,117.91,70
Kelly,Ramona,116.17,20
Veda,Mike,768.52,77
Kial,Elvyn,317.63,87
Halette,Carvey,419.78,85
Annice,Merat,793.95,80
Inga,Brieta,739,27
Debee,Papageno,792.04,14
Codie,Dash,764.2,99
Adore,Greyson,962.81,27
Lanae,Khorma,331.08,13
Ellette,Greenwald,984.55,57
Larine,Leffen,829.2,28
Suzette,Buckler,952.36,36
Caryl,Dorcy,659.84,18
Dulce,Sophronia,484.47,84
Alex,Hamil,950.77,42
Jennica,Holbrook,743.39,72
Ezmeralda,Anton,521.18,85
Sybille,Olnee,967.7,32
